"Variable","median_mda","iqr25","iqr75","Genus"
"Otu00309",0.234300150954367,0.203845871674639,0.259104857057805,"Ruminococcaceae"
"Otu00567",0.234002652820612,0.205187857164593,0.271416261159949,"Ruminococcaceae"
"Otu00083",0.23397304188358,0.213458310311593,0.270911514510999,"Paraprevotella"
"Otu00220",0.232418240056889,0.20525853114032,0.261739233796816,"Lachnospiraceae"
"Otu00219",0.230759153921742,0.200989740412312,0.267004843257047,"Ruminococcaceae"
"Otu00180",0.230439302306865,0.199243328375526,0.252118573469382,"Ruminococcaceae"
"Otu00401",0.230403693263603,0.199909349091404,0.260355027097847,"Ruminococcaceae"
"Otu00489",0.229625600298473,0.19903354169522,0.29119509608617,"Clostridiales"
"Otu00154",0.229492218174272,0.199514574179476,0.253179195346104,"Bacteria"
"Otu01114",0.229202974156512,0.199426892420614,0.268833148752882,"Ruminococcaceae"
"Otu00385",0.228719270859766,0.191221841119699,0.255482134128031,"Lactobacillales"
"Otu00855",0.228708005986892,0.173937432433294,0.290126680963987,"Ruminococcaceae"
"Otu00321",0.226938636681237,0.20178745100389,0.264171294781922,"Bacteroides"
"Otu00375",0.226630842656097,0.189736038411015,0.249327541701968,"Clostridium_XlVa"
"Otu00240",0.225340560733667,0.196682799037101,0.251781992382537,"Rothia"
"Otu00404",0.224637366036463,0.197964880068707,0.25191814790563,"Lachnospiraceae"
"Otu00353",0.223560950203802,0.186555014651336,0.251739951770091,"Bacteria"
"Otu00099",0.223184276240918,0.193680329035414,0.255966391645267,"Ruminococcaceae"
"Otu00591",0.221984768842722,0.186789296477494,0.285086858667768,"Lachnospiraceae"
"Otu00066",0.221811995474926,0.180343839920544,0.252467064775063,"Faecalibacterium"
"Otu00191",0.221798461233844,0.198237030572971,0.265680335022649,"Ruminococcus2"
"Otu00267",0.22165296282555,0.186763312867682,0.255831513584632,"Lachnospiraceae"
"Otu00363",0.22039030921441,0.1912477252443,0.248628457134958,"Clostridium_XlVa"
"Otu00566",0.219588289120007,0.187494089274461,0.241351142678675,"Clostridiales"
"Otu00112",0.218213896678865,0.190120423458264,0.246685915841116,"Barnesiella"
"Otu00453",0.218084691584275,0.187398322731361,0.245963479862475,"Clostridium_IV"
"Otu00142",0.217140033989397,0.197505066095586,0.246942627478348,"Enterobacteriaceae"
"Otu00284",0.216858418382957,0.186584361502921,0.242040553487227,"Acidaminococcaceae"
"Otu00319",0.214602204634087,0.1776527342312,0.247879096028094,"Clostridiales"
"Otu00215",0.214481099203501,0.178485331995017,0.270950679707257,"Prevotella"
"Otu00389",0.213617602226561,0.187716594345788,0.235843624960007,"Bacteria"
"Otu00523",0.212143640737059,0.183435086762979,0.229990621563088,"Lachnospiraceae"
"Otu00422",0.211551319022074,0.180304268387158,0.245029342278397,"Lachnospiraceae"
"Otu00535",0.211478707669987,0.178826621038681,0.2500768940229,"Ruminococcaceae"
"Otu00329",0.211442826023828,0.186212995604018,0.237134748150047,"Blautia"
"Otu00470",0.210578862099601,0.179240216087054,0.234093910906585,"Ruminococcaceae"
"Otu00139",0.210573248244207,0.184963306605289,0.236335506228851,"Acidaminococcus"
"Otu00679",0.209659972255492,0.188282393715339,0.239511629684658,"Ruminococcaceae"
"Otu00358",0.209290700281263,0.176821931952013,0.237329387925971,"Clostridium_XlVa"
"Otu00100",0.209283233942554,0.185859884893472,0.235286197420228,"Bacteroides"
"Otu00412",0.209001736642818,0.181140891508502,0.232290726452455,"Ruminococcaceae"
"Otu00175",0.208815629425953,0.184339225536701,0.233874833079728,"Coprococcus"
"Otu00247",0.207977876064588,0.183034121952463,0.240299645766694,"Barnesiella"
"Otu00114",0.207864165495217,0.183022736062665,0.233091471994086,"Lachnospiraceae"
"Otu00148",0.207649199104119,0.178871023262867,0.242022403819179,"Lachnospiraceae"
"Otu00463",0.206359403947164,0.177617656290473,0.234219327678255,"Ruminococcaceae"
"Otu00522",0.206150626268217,0.179574736963487,0.233294941087816,"Firmicutes"
"Otu00125",0.20399214948057,0.16818269412515,0.242945439851572,"Veillonella"
"Otu00545",0.202805134121258,0.170507008356816,0.224522606874281,"Ruminococcaceae"
"Otu00613",0.202275107188009,0.163888353692965,0.261540575090908,"Coprobacillus"
"Otu00308",0.201562454605937,0.164963709246062,0.226066274475868,"Firmicutes"
"Otu00262",0.201203074929169,0.175881898893136,0.229926652733965,"Erysipelotrichaceae"
"Otu00316",0.201088174104643,0.171332755560073,0.23399279969968,"Firmicutes"
"Otu00254",0.199881994156125,0.161153574304753,0.22213786442419,"Ruminococcaceae"
"Otu00235",0.199826016942793,0.172763133063482,0.230721804360383,"Coriobacteriaceae"
"Otu00532",0.198420866935286,0.172870733701132,0.228266540828154,"Lachnospiraceae"
"Otu00598",0.197437267960927,0.170304076060307,0.229592736345489,"Streptococcus"
"Otu00044",0.196883902285359,0.178174347177839,0.223444743939688,"Clostridiales"
"Otu00246",0.196129031710135,0.169404810355438,0.214341414339328,"Clostridiales"
"Otu00251",0.195202652728514,0.168863557422066,0.225738328548201,"Parabacteroides"
"Otu00080",0.19510441109586,0.170404111298841,0.229334962503157,"Prevotella"
"Otu00502",0.195001594584986,0.162324348031854,0.216121146708765,"Oscillibacter"
"Otu00452",0.194515905343427,0.164545703012071,0.226334675708631,"Oscillibacter"
"Otu00282",0.193976801023019,0.169263235672628,0.218571643655291,"Clostridiales"
"Otu00845",0.193759250111998,0.164794886666999,0.215187739137123,"Ruminococcaceae"
"Otu00271",0.192080863539895,0.167981775828016,0.220416302235075,"Coprobacillus"
"Otu00343",0.191819695741404,0.167407709697354,0.216390583034574,"Clostridiales"
"Otu00248",0.190805013700117,0.163744042379037,0.220819587751046,"Peptostreptococcaceae"
"Otu00842",0.190349860861224,0.156200523465501,0.217213553019778,"Ruminococcaceae"
"Otu00170",0.190037929175877,0.165035385945625,0.218585118458599,"Clostridiales"
"Otu00291",0.189840453823173,0.159327286172199,0.212000670211806,"Porphyromonadaceae"
"Otu00111",0.189683063573647,0.170457272958788,0.217286716436169,"Bacteroides"
"Otu00484",0.189470006456791,0.166656555815781,0.224973739020252,"Anaerostipes"
"Otu00419",0.189311978250237,0.16299386106132,0.21439304490131,"Clostridiales"
"Otu00224",0.189258191186283,0.166088339853721,0.211693113427496,"Enterorhabdus"
"Otu00584",0.189202900317518,0.163379185197471,0.218433528859525,"Lachnospiraceae"
"Otu00635",0.188951904335231,0.162069661261728,0.222413311021151,"Lachnospiraceae"
"Otu00263",0.188832641671643,0.158553017214842,0.215975354215306,"Porphyromonadaceae"
"Otu00305",0.188023998660558,0.163328487241877,0.220224612332124,"Lachnospiraceae"
"Otu00676",0.187251474591855,0.152794412099925,0.226117822141634,"Clostridiales"
"Otu00192",0.187100541196632,0.165214354764618,0.204625200306135,"Lachnospiraceae"
